Video_ID,label,similarity,WER,correct_words_#,mfcc_prediction,mfcc_probability,mfcc_svm_decision_score,,,,
0_00000.mp4,0,8.146639511,100,0,1,0.713174803,0.782946308,,,,
0_00001.mp4,0,76.97368421,42.10526316,23,0,0.968594686,-3.215874098,,,,
0_00002.mp4,0,70.625,58.82352941,15,0,0.811472905,-1.41278326,,,,
0_00003.mp4,0,74.18397626,45.94594595,20,1,0.553676548,0.140832542,,,,
0_00004.mp4,0,58.82352941,81.25,5,1,0.794504571,1.190281679,,,,
0_00005.mp4,0,54.67625899,70.58823529,6,0,0.537585662,-0.203924433,,,,
0_00006.mp4,0,65.75342466,58.06451613,15,0,0.988458772,-4.175988958,,,,
0_00007.mp4,0,70.24390244,68.18181818,9,1,0.805324949,1.230501338,,,,
0_00008.mp4,0,66.66666667,66.66666667,9,1,0.709277471,0.749206008,,,,
0_00009.mp4,0,13.61058601,59.64912281,26,1,0.735673457,0.867139134,,,,
0_00010.mp4,0,79.53216374,38.88888889,11,0,0.965810819,-3.137661912,,,,
0_00011.mp4,0,65.27196653,70,11,1,0.58791326,0.268184784,,,,
0_00012.mp4,0,8.695652174,100,0,0,0.999082845,-6.509385432,,,,
0_00013.mp4,0,23.72881356,137.5,0,0,0.551934848,-0.257358479,,,,
0_00014.mp4,0,59.78647687,44.44444444,15,0,0.636284507,-0.57545243,,,,
0_00015.mp4,0,67.83625731,63.15789474,8,0,0.512871632,-0.111084586,,,,
0_00016.mp4,0,70.27027027,55.17241379,15,0,0.919001624,-2.302293468,,,,
0_00017.mp4,0,62.5,69.56521739,9,0,0.634499631,-0.585761297,,,,
0_00018.mp4,0,31.39534884,118.75,3,1,0.877306269,1.732162634,,,,
0_00019.mp4,0,10.57934509,96.77419355,2,0,0.715771925,-0.91042611,,,,
0_00020.mp4,0,23.2,26.66666667,34,1,0.673918855,0.618164431,,,,
0_00021.mp4,0,34.64566929,100,0,1,0.528765932,0.048449026,,,,
0_00022.mp4,0,22.37762238,100,1,0,0.533953673,-0.188201662,,,,
0_00023.mp4,0,61.8556701,66.66666667,10,0,0.636765429,-0.583076498,,,,
0_00024.mp4,0,71.875,53.84615385,16,1,0.850171587,1.520347663,,,,
0_00025.mp4,0,84.98402556,30.55555556,26,1,0.76040513,0.998583297,,,,
0_00026.mp4,0,81.25,35,15,0,0.696353896,-0.82403336,,,,
0_00027.mp4,0,61.53846154,56.52173913,12,0,0.915871684,-2.264229467,,,,
0_00028.mp4,0,63.22580645,86.66666667,6,0,0.523193467,-0.143572145,,,,
0_00029.mp4,0,80,42.85714286,8,0,0.870007143,-1.807161525,,,,
0_00030.mp4,0,41.02564103,94.73684211,1,0,0.832171832,-1.535842851,,,,
0_00031.mp4,0,74.3902439,52.63157895,10,0,0.843360107,-1.599305759,,,,
0_00032.mp4,0,89.0625,29.62962963,19,0,0.925493097,-2.361667978,,,,
0_00033.mp4,0,26.21564482,43.39622642,32,0,0.710516257,-0.886709835,,,,
0_00034.mp4,0,64.86486486,59.09090909,9,0,0.524091656,-0.141117517,,,,
0_00035.mp4,0,86.04651163,64.28571429,8,1,0.576359995,0.208877999,,,,
0_00036.mp4,0,20.87378641,46.15384615,25,0,0.919094038,-2.303827457,,,,
0_00037.mp4,0,74.59459459,57.89473684,8,0,0.523101773,-0.14845804,,,,
0_00038.mp4,0,74.71264368,52.63157895,9,0,0.683977446,-0.764910116,,,,
0_00039.mp4,0,87.32394366,33.33333333,12,1,0.810087418,1.258890433,,,,
0_00040.mp4,0,83.24022346,39.39393939,20,0,0.600637805,-0.436958043,,,,
0_00041.mp4,0,69.62962963,72.72727273,9,0,0.751213468,-1.077978862,,,,
0_00042.mp4,0,86.45833333,21.05263158,15,0,0.937653994,-2.536070994,,,,
0_00043.mp4,0,9.090909091,160,0,1,0.743918994,0.908379786,,,,
0_00044.mp4,0,60.57142857,82.35294118,4,1,0.820499748,1.321381585,,,,
0_00045.mp4,0,76.11336032,42.30769231,15,0,0.617858993,-0.511868859,,,,
0_00046.mp4,0,77.47747748,53.84615385,8,0,0.848306319,-1.646873949,,,,
0_00047.mp4,0,74.79674797,75,5,0,0.660624485,-0.685067444,,,,
0_00048.mp4,0,1.181102362,41.50943396,34,1,0.606111391,0.335795799,,,,
0_00049.mp4,0,4.735883424,8.196721311,56,1,0.521197806,0.013008019,,,,
0_00050.mp4,0,62.55506608,68,10,1,0.519748183,0.020892018,,,,
0_00051.mp4,0,22.53521127,100,0,0,0.578395319,-0.344912317,,,,
0_00052.mp4,0,28.57142857,100,0,0,0.68407454,-0.776717967,,,,
0_00053.mp4,0,71.89542484,45.71428571,21,0,0.719292841,-0.922207223,,,,
0_00054.mp4,0,82.60869565,31.25,11,1,0.720784637,0.79806034,,,,
0_00055.mp4,0,71.17647059,45,22,1,0.631980793,0.43722846,,,,
0_00056.mp4,0,69.46778711,58.97435897,16,0,0.985284226,-3.946075537,,,,
0_00057.mp4,0,24.56140351,93.33333333,1,1,0.669167234,0.578260601,,,,
0_00058.mp4,0,49.45454545,78.57142857,8,0,0.884796953,-1.939758492,,,,
0_00059.mp4,0,49.16201117,100,5,0,0.922035983,-2.316894127,,,,
0_00060.mp4,0,58.73605948,87.5,4,0,0.750797347,-1.080957541,,,,
0_00061.mp4,0,51.53374233,86.66666667,4,0,0.709101253,-0.880368463,,,,
0_00062.mp4,0,54.38596491,111.1111111,3,1,0.69037964,0.682367961,,,,
0_00063.mp4,0,60.49382716,72.22222222,5,1,0.746107484,0.943121535,,,,
0_00064.mp4,0,89.77272727,33.33333333,8,0,0.897342116,-2.053676764,,,,
0_00065.mp4,0,58.94736842,62.16216216,14,1,0.539901211,0.082109565,,,,
0_00066.mp4,0,85.46255507,31.81818182,16,0,0.6782421,-0.75198186,,,,
0_00067.mp4,0,6.995230525,27.27272727,48,0,0.603149498,-0.446858418,,,,
0_00068.mp4,0,74.05063291,51.42857143,23,1,0.848765682,1.522867615,,,,
0_00069.mp4,0,91.28630705,16,24,0,0.677915267,-0.744842706,,,,
0_00070.mp4,0,66.24203822,55.55555556,9,0,0.973465011,-3.370731063,,,,
0_00071.mp4,0,62.98342541,64.70588235,8,0,0.614637729,-0.505066414,,,,
0_00072.mp4,0,72.04968944,71.42857143,7,1,0.768262491,1.027701053,,,,
0_00073.mp4,0,39.88269795,81.57894737,7,0,0.631904116,-0.57505726,,,,
0_00074.mp4,0,36.66666667,130,0,1,0.606923671,0.330668,,,,
0_00075.mp4,0,62.44725738,64.51612903,11,0,0.766813542,-1.149687393,,,,
0_00076.mp4,0,78.43137255,50,7,0,0.518010499,-0.129849954,,,,
0_00077.mp4,0,40.95238095,123.5294118,2,0,0.508508395,-0.08928238,,,,
0_00078.mp4,0,31.1827957,120,2,0,0.809321503,-1.399927661,,,,
0_00079.mp4,0,20.84942085,75,7,0,0.562419241,-0.296696059,,,,
0_00080.mp4,0,17.42738589,77.14285714,17,0,0.672506649,-0.748801526,,,,
0_00081.mp4,0,19.81981982,103.125,1,0,0.707512047,-0.878746039,,,,
0_00082.mp4,0,54.88372093,80,7,1,0.927881651,2.263962611,,,,
0_00083.mp4,0,15.11335013,75.67567568,13,0,0.557251939,-0.270469895,,,,
0_00084.mp4,0,66.66666667,62.5,12,0,0.580451153,-0.361164706,,,,
0_00085.mp4,0,70,38.0952381,13,0,0.98699579,-4.064125455,,,,
0_00086.mp4,0,50.76142132,80.76923077,5,0,0.7329748,-0.98432346,,,,
0_00087.mp4,0,73.39449541,60,4,1,0.663780764,0.570020979,,,,
0_00088.mp4,0,87.17948718,26.66666667,23,0,0.836195176,-1.569397047,,,,
0_00089.mp4,0,57.14285714,22.91666667,37,1,0.541052673,0.085876095,,,,
0_00090.mp4,0,69.93865031,51.35135135,18,0,0.780576293,-1.221385945,,,,
